(env) thedead@maccos 01 - 1-wire % python3 1-wire.py wss://signals.holidayhackchallenge.com/wire/dq -t 20 -v 
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4727,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4791,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4851,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4861,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4921,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4931,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":4937,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5001,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5007,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5071,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5077,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5141,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5201,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5211,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5217,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5281,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5287,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5351,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5411,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5421,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5481,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5491,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5551,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5561,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5567,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5631,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5691,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5701,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5761,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5771,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5777,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5841,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5847,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5911,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5971,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":5981,"v":0}
