2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":532000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":542000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":552000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":562000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":572000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":582000,"v":0,"marker":"ack-bit","byteIndex":1,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":592000,"v":1,"marker":"ack-release","byteIndex":1,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":592000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":602000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":612000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":622000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":632000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":642000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":652000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":6,"type":"data"}
